date,title,score,people
1994,肖申克的救赎,9.6,870302
1993,霸王别姬,9.5,625323
1994,这个杀手不太冷,9.4,832527
1994,阿甘正传,9.4,709880
1997,美丽人生,9.5,413993
2001,千与千寻,9.2,661184
1993,辛德勒的名单,9.4,381619
1997,泰坦尼克号,9.2,652524
2010,盗梦空间,9.2,760826
2008,机器人总动员,9.3,498054
1998,海上钢琴师,9.2,598271
2009,三傻大闹宝莱坞,9.1,672528
2009,忠犬八公的故事,9.2,454094
2004,放牛班的春天,9.2,451508
1995,大话西游之大圣娶亲,9.2,487150
1988,龙猫,9.1,417569
1972,教父,9.2,342961
1998,楚门的世界,9.1,452936
1939,乱世佳人,9.2,270850
1988,天堂电影院,9.1,309151
2011,触不可及,9.1,365195
2006,当幸福来敲门,8.9,537521
2011,熔炉,9.2,250931
1999,搏击俱乐部,9.0,403677
2002,无间道,9.0,397665
2006,血钻,8.5,122373
2007,曾经,8.3,195004
2010,国王的演讲,8.3,320692
2002,猫鼠游戏,8.7,213585
2015,二十二,8.9,74837
2008,贫民窟的百万富翁,8.5,385466
1987,忠犬八公物语,9.0,53177
2001,麦兜故事,8.5,121655
2013,爱在午夜降临前,8.8,107518
2004,暖暖内含光,8.4,137426
1984,风之谷,8.8,171023
2001,哈利·波特与魔法石,8.7,242090
2004,爱在日落黄昏时,8.7,192733
2001,我是山姆,8.8,97858
2013,7号房的礼物,8.7,163941
2011,哈利·波特与死亡圣器(下),8.6,261685
2003,杀人回忆,8.6,200627
1994,东邪西毒,8.6,240833
2000,记忆碎片,8.5,268424
2007,秒速5厘米,8.3,279653
2007,这个男人来自地球,8.5,167952
1997,变脸,8.4,204468
1999,枪火,8.6,93142
2006,疯狂的石头,8.2,292179
2007,遗愿清单,8.5,118665
2002,蝴蝶,8.6,91971
1997,心灵捕手,8.7,264088
1997,春光乍泄,8.8,238935
1997,幽灵公主,8.8,229416
2010,让子弹飞,8.7,609029
1995,侧耳倾听,8.8,162375
1988,萤火虫之墓,8.7,198134
2008,穿条纹睡衣的男孩,8.9,135717
2010,驯龙高手,8.7,275613
2011,超脱,8.8,166247
2000,花样年华,8.5,234914
2008,浪潮,8.7,125916
2006,香水,8.4,264943
2002,冰川时代,8.4,258813
2004,撞车,8.6,168226
2008,朗读者,8.5,269503
1966,虎口脱险,8.9,103955
